S. No.,College Name,College Type,State Name
154,Nagarjuna College of Education (Id: C-32641),Affiliated College,Andhra Pradesh
155,"Nagarjuna Institute of Management Studies, Chekurapadu (Id: C-39467)",Affiliated College,Andhra Pradesh
156,Nalanda College of Education (Id: C-37207),Affiliated College,Andhra Pradesh
157,National Minority Degree College (Id: C-32683),Affiliated College,Andhra Pradesh
158,Navya Chaitanya College of Education (Id: C-32758),Affiliated College,Andhra Pradesh
159,N.B.T & N V C College (Id: C-32746),Affiliated College,Andhra Pradesh
160,New Era College of Education (Id: C-37106),Affiliated College,Andhra Pradesh
161,"Nirmala College of Pharmacy, Mangalagiri (Id: C-39481)",Affiliated College,Andhra Pradesh
162,N.N.R. & C.L. Degree College (Id: C-32743),Affiliated College,Andhra Pradesh
163,N.N.S. Vidya College of P.G. Studies (Id: C-32761),Affiliated College,Andhra Pradesh
164,N.N.S Vidya Degree College (Id: C-42657),Affiliated College,Andhra Pradesh
165,N.R.K & K.S.R Gupta College of Pharmacy (Id: C-39469),Affiliated College,Andhra Pradesh
166,N.R.K. & K.S.R. Gupta Degree College (Id: C-32747),Affiliated College,Andhra Pradesh
167,N.T.R Memorial Degree College (Id: C-32645),Affiliated College,Andhra Pradesh
168,Omega College of Education (Id: C-32682),Affiliated College,Andhra Pradesh
169,"Palnadu College of Education, Narayanapuram (Id: C-39458)",Affiliated College,Andhra Pradesh
170,P.B.N. College (Id: C-32757),Affiliated College,Andhra Pradesh
171,Pedanandipadu College of Arts and Sciences (Id: C-32781),Affiliated College,Andhra Pradesh
172,P.N.C.A Degree College (Id: C-32620),Affiliated College,Andhra Pradesh
173,P.N.C & K.R. College (Id: C-32816),Affiliated College,Andhra Pradesh
174,Prabhala Lakshminarayana Memorial Degree College (Id: C-32673),Affiliated College,Andhra Pradesh
175,"Prabhala PG College for Women, Nagarjuna Nagar (Id: C-39451)",Affiliated College,Andhra Pradesh
176,Pratap College of Education (Id: C-41026),Affiliated College,Andhra Pradesh
177,Prathiba Degree College (Id: C-32775),Affiliated College,Andhra Pradesh
178,"Pratibha Degree College, Pedanandipadu (Id: C-41021)",Affiliated College,Andhra Pradesh
179,Priya Darisini Degree College (Id: C-32665),Affiliated College,Andhra Pradesh
180,Priyadarsini Institute of Pharmaceutical Science (Id: C-39474),Affiliated College,Andhra Pradesh
181,Priyanka College of Education (Id: C-32713),Affiliated College,Andhra Pradesh
182,P.S.B. College of Education (Id: C-39266),Affiliated College,Andhra Pradesh
183,Qis College of Education (Id: C-39276),Affiliated College,Andhra Pradesh
184,"Radha Degree College, Vinukonda (Id: C-39304)",Affiliated College,Andhra Pradesh
185,Raghava Degree College - Ongole (Id: C-32642),Affiliated College,Andhra Pradesh
186,Rahul Institute of Pharmaceutical Sciences & Research (Id: C-41031),Affiliated College,Andhra Pradesh
187,"Rahul Subramanyam Memorial Instt of Management Studies, Chirala (Id: C-41030)",Affiliated College,Andhra Pradesh
188,Ravindra Bharathi College of Education (Id: C-32745),Affiliated College,Andhra Pradesh
189,Repalle Christian College (Id: C-32806),Affiliated College,Andhra Pradesh
190,Repalle Christian College of Education (Id: C-32716),Affiliated College,Andhra Pradesh
191,R.V.R. & J.C. College of Engineering (Id: C-32672),Affiliated College,Andhra Pradesh
192,R.V.R.R. College of Education (Id: C-32725),Affiliated College,Andhra Pradesh
193,R.V.V.N. College (Id: C-32687),Affiliated College,Andhra Pradesh
194,S.A.B.R. Govt. Degree College (Id: C-32765),Affiliated College,Andhra Pradesh
195,Sadhana Degree College (Id: C-32755),Affiliated College,Andhra Pradesh
196,Sadineni Chowdaraiah College of Arts & Science (Id: C-32739),Affiliated College,Andhra Pradesh
197,Sai Chaitanya Degree College Giddalur (Id: C-39303),Affiliated College,Andhra Pradesh
198,Sarada College of Pharmaceutical Sciences (Id: C-39479),Affiliated College,Andhra Pradesh
199,"Sarada Degree College, Medarametla (Id: C-44488)",Affiliated College,Andhra Pradesh
200,"Saraswathi College of Arts & Science, Dachepalli (Id: C-41013)",Affiliated College,Andhra Pradesh
201,"S.B.G. Degree College, Sattenapalli (Id: C-40606)",Affiliated College,Andhra Pradesh
202,S.B.M.S. Degree College (Id: C-32646),Affiliated College,Andhra Pradesh
203,S.B.Swamy Sanskrit College (Id: C-32728),Affiliated College,Andhra Pradesh
204,"S.B.V.S.R College of Education, Cheemakurthi (Id: C-42742)",Affiliated College,Andhra Pradesh
205,Seven Hills College of Education (Id: C-37208),Affiliated College,Andhra Pradesh
206,S.G.H.R. & M.C.M.R.College (Id: C-32730),Affiliated College,Andhra Pradesh
207,"S.G.K Govt. Degree College, Vinukonda (Id: C-42245)",Affiliated College,Andhra Pradesh
208,S.G.K. Oriental College (Id: C-32697),Affiliated College,Andhra Pradesh
209,S.G.T. & J.V.B.College (Id: C-32635),Affiliated College,Andhra Pradesh
210,S.G.V. Oriental College (Id: C-32783),Affiliated College,Andhra Pradesh
